scientific name,English name,number of people seeing species
Ficedula narcissina,Narcissus Flycatcher,3
Ficedula mugimaki,Mugimaki Flycatcher,7
Ficedula sordida,Slaty-backed Flycatcher,1
Ficedula nigrorufa,Black-and-orange Flycatcher,1
Ficedula tricolor,Slaty-blue Flycatcher,2
Ficedula hyperythra,Snowy-browed Flycatcher,8
Ficedula hodgsoni,Pygmy Flycatcher,1
Ficedula strophiata,Rufous-gorgeted Flycatcher,3
Ficedula sapphira,Sapphire Flycatcher,0
Ficedula westermanni,Little Pied Flycatcher,9
Ficedula superciliaris,Ultramarine Flycatcher,2
Ficedula ruficauda,Rusty-tailed Flycatcher,2
Ficedula albicilla,Taiga Flycatcher,8
Ficedula subrubra,Kashmir Flycatcher,1
Ficedula parva,Red-breasted Flycatcher,6
Ficedula semitorquata,Semicollared Flycatcher,4
Ficedula hypoleuca,European Pied Flycatcher,9
Ficedula speculigera,Atlas Flycatcher,0
Ficedula albicollis,Collared Flycatcher,4
Ficedula riedeli,Tanimbar Flycatcher,0
Ficedula dumetoria,Rufous-chested Flycatcher,1
Ficedula platenae,Palawan Flycatcher,1
Ficedula disposita,Furtive Flycatcher,0
Ficedula rufigula,Rufous-throated Flycatcher,1
Ficedula henrici,Damar Flycatcher,0
Ficedula buruensis,Cinnamon-chested Flycatcher,0
Ficedula bonthaina,Lompobattang Flycatcher,0
Ficedula harterti,Sumba Flycatcher,0
Ficedula timorensis,Black-banded Flycatcher,0
Ficedula basilanica,Little Slaty Flycatcher,1
Ficedula crypta,Cryptic Flycatcher,2
Ficedula luzoniensis,Bundok Flycatcher,1
Phoenicurus frontalis,Blue-fronted Redstart,5
Phoenicurus fuliginosus,Plumbeous Redstart,9
Phoenicurus bicolor,Luzon Redstart,1
Phoenicurus erythronotus,Rufous-backed Redstart,1
Phoenicurus leucocephalus,White-capped Redstart,7
Phoenicurus alaschanicus,Ala Shan Redstart,1
Phoenicurus coeruleocephala,Blue-capped Redstart,4
Phoenicurus moussieri,Moussier's Redstart,1
Phoenicurus phoenicurus,Common Redstart,18
Phoenicurus hodgsoni,Hodgson's Redstart,4
Phoenicurus schisticeps,White-throated Redstart,5
Phoenicurus erythrogastrus,White-winged Redstart,6
Phoenicurus ochruros,Black Redstart,23
Phoenicurus auroreus,Daurian Redstart,11
Monticola rufocinereus,Little Rock-Thrush,3
Monticola rufiventris,Chestnut-bellied Rock-Thrush,4
Monticola gularis,White-throated Rock-Thrush,2
Monticola cinclorhyncha,Blue-capped Rock-Thrush,1
Monticola brevipes,Short-toed Rock-Thrush,2
Monticola explorator,Sentinel Rock-Thrush,4
Monticola sharpei,Forest Rock-Thrush,1
Monticola imerina,Littoral Rock-Thrush,0
Monticola saxatilis,Rufous-tailed Rock-Thrush,7
Monticola solitarius,Blue Rock-Thrush,21
Monticola angolensis,Miombo Rock-Thrush,0
Monticola rupestris,Cape Rock-Thrush,4
Saxicola rubetra,Whinchat,11
Saxicola macrorhynchus,White-browed Bushchat,0
Saxicola insignis,White-throated Bushchat,0
Saxicola dacotiae,Fuerteventura Stonechat,1
Saxicola rubicola,European Stonechat,18
Saxicola maurus,Siberian Stonechat,16
Saxicola torquatus,African Stonechat,11
Saxicola tectes,Reunion Stonechat,0
Saxicola leucurus,White-tailed Stonechat,3
Saxicola caprata,Pied Bushchat,13
Saxicola jerdoni,Jerdon's Bushchat,1
Saxicola ferreus,Gray Bushchat,5
Saxicola gutturalis,Timor Bushchat,0
Saxicola bifasciatus,Buff-streaked Bushchat,1
Pinarornis plumosus,Boulder Chat,0
Myrmecocichla tholloni,Congo Moorchat,0
Myrmecocichla aethiops,Northern Anteater-Chat,7
Myrmecocichla formicivora,Southern Anteater-Chat,5
Myrmecocichla nigra,Sooty Chat,2
Myrmecocichla melaena,Rüppell's Chat,2
Myrmecocichla albifrons,White-fronted Black-Chat,1
Myrmecocichla arnotti,White-headed Black-Chat,0
Myrmecocichla collaris,Ruaha Chat,0
Thamnolaea cinnamomeiventris,Mocking Cliff-Chat,8
Thamnolaea semirufa,White-winged Cliff-Chat,2
Cercomela sinuata,Sicklewing Chat,0
Cercomela schlegelii,Karoo Chat,1
Cercomela tractrac,Tractrac Chat,0
Cercomela familiaris,Familiar Chat,4
Cercomela scotocerca,Brown-tailed Chat,1
Cercomela fusca,Indian Chat,1
Cercomela dubia,Sombre Chat,1
Cercomela melanura,Blackstart,8
Cercomela sordida,Moorland Chat,3
Oenanthe leucopyga,White-crowned Wheatear,8
Oenanthe monacha,Hooded Wheatear,4
Oenanthe albonigra,Hume's Wheatear,0
Oenanthe leucura,Black Wheatear,4
Oenanthe monticola,Mountain Wheatear,5
Oenanthe phillipsi,Somali Wheatear,0
Oenanthe oenanthe,Northern Wheatear,32
Oenanthe lugens,Mourning Wheatear,7
Oenanthe lugentoides,Arabian Wheatear,0
Oenanthe lugubris,Abyssinian Wheatear,4
Oenanthe finschii,Finsch's Wheatear,2
Oenanthe picata,Variable Wheatear,1
Oenanthe moesta,Red-rumped Wheatear,2
Oenanthe pleschanka,Pied Wheatear,7
Oenanthe cypriaca,Cyprus Wheatear,0
Oenanthe hispanica,Black-eared Wheatear,8
Oenanthe xanthoprymna,Red-tailed Wheatear,0
Oenanthe deserti,Desert Wheatear,9
Oenanthe pileata,Capped Wheatear,8
Oenanthe isabellina,Isabelline Wheatear,13
Oenanthe bottae,Red-breasted Wheatear,2
Oenanthe heuglini,Heuglin's Wheatear,0
Grandala coelicolor,Grandala,3
Sialia sialis,Eastern Bluebird,54
Sialia mexicana,Western Bluebird,47
Sialia currucoides,Mountain Bluebird,45
Neocossyphus fraseri,Rufous Flycatcher-Thrush,1
Neocossyphus finschi,Finsch's Flycatcher-Thrush,1
Neocossyphus rufus,Red-tailed Ant-Thrush,2
Neocossyphus poensis,White-tailed Ant-Thrush,2
Myadestes townsendi,Townsend's Solitaire,47
Myadestes occidentalis,Brown-backed Solitaire,9
Myadestes elisabeth,Cuban Solitaire,1
Myadestes genibarbis,Rufous-throated Solitaire,2
Myadestes melanops,Black-faced Solitaire,18
Myadestes coloratus,Varied Solitaire,0
Myadestes unicolor,Slate-colored Solitaire,8
Myadestes ralloides,Andean Solitaire,7
Myadestes myadestinus,Kamao,0
Myadestes woahensis,Amaui,0
Myadestes lanaiensis,Olomao,0
Myadestes obscurus,Omao,8
Myadestes palmeri,Puaiohi,2
Zoothera dixoni,Long-tailed Thrush,2
Zoothera mollissima,Alpine Thrush,3
Zoothera salimalii,Himalayan Thrush,0
Zoothera griseiceps,Sichuan Thrush,0
Zoothera heinrichi,Geomalia,1
Zoothera marginata,Dark-sided Thrush,3
Zoothera monticola,Long-billed Thrush,1
Zoothera everetti,Everett's Thrush,1
Zoothera andromedae,Sunda Thrush,1
Zoothera aurea,White's Thrush,4
Zoothera dauma,Scaly Thrush,4
Zoothera neilgherriensis,Nilgiri Thrush,0
Zoothera imbricata,Sri Lanka Thrush,2
Zoothera terrestris,Bonin Thrush,0
Zoothera margaretae,Makira Thrush,0
Zoothera turipavae,Guadalcanal Thrush,0
Zoothera lunulata,Bassian Thrush,7
Zoothera talaseae,New Britain Thrush,0
Zoothera atrigena,Bougainville Thrush,0
Zoothera heinei,Russet-tailed Thrush,3
Zoothera machiki,Fawn-breasted Thrush,0
Cataponera turdoides,Sulawesi Thrush,1
Chlamydochaera jefferyi,Fruit-hunter,2
Cochoa purpurea,Purple Cochoa,0
Cochoa viridis,Green Cochoa,2
Cochoa beccarii,Sumatran Cochoa,0
Cochoa azurea,Javan Cochoa,2
Ixoreus naevius,Varied Thrush,41
Catharus gracilirostris,Black-billed Nightingale-Thrush,14
Catharus aurantiirostris,Orange-billed Nightingale-Thrush,17
Catharus fuscater,Slaty-backed Nightingale-Thrush,18
Catharus occidentalis,Russet Nightingale-Thrush,3
Catharus frantzii,Ruddy-capped Nightingale-Thrush,14
Catharus mexicanus,Black-headed Nightingale-Thrush,13
Catharus dryas,Spotted Nightingale-Thrush,3
Catharus fuscescens,Veery,53
Catharus minimus,Gray-cheeked Thrush,45
Catharus bicknelli,Bicknell's Thrush,23
Catharus ustulatus,Swainson's Thrush,54
Catharus guttatus,Hermit Thrush,56
Hylocichla mustelina,Wood Thrush,55
Entomodestes coracinus,Black Solitaire,1
Entomodestes leucotis,White-eared Solitaire,1
Cichlopsis leucogenys,Rufous-brown Solitaire,1
Ridgwayia pinicola,Aztec Thrush,3
Geokichla sibirica,Siberian Thrush,3
Geokichla wardii,Pied Thrush,1
Geokichla guttata,Spotted Ground-Thrush,1
Geokichla camaronensis,Black-eared Ground-Thrush,0
Geokichla princei,Gray Ground-Thrush,0
Geokichla crossleyi,Crossley's Ground-Thrush,1
Geokichla oberlaenderi,Oberländer's Ground-Thrush,0
Geokichla piaggiae,Abyssinian Ground-Thrush,3
Geokichla tanganjicae,Kivu Ground-Thrush,0
Geokichla gurneyi,Orange Ground-Thrush,2
Geokichla spiloptera,Spot-winged Thrush,2
Geokichla cinerea,Ashy Thrush,2
Geokichla dumasi,Buru Thrush,0
Geokichla joiceyi,Seram Thrush,0
Geokichla interpres,Chestnut-capped Thrush,1
Geokichla leucolaema,Enggano Thrush,0
Geokichla dohertyi,Chestnut-backed Thrush,0
Geokichla peronii,Orange-banded Thrush,0
Geokichla schistacea,Slaty-backed Thrush,0
Geokichla erythronota,Rusty-backed Thrush,1
Geokichla mendeni,Red-and-black Thrush,0
Geokichla citrina,Orange-headed Thrush,9
Otocichla mupinensis,Chinese Thrush,1
Psophocichla litsitsirupa,Groundscraper Thrush,8
Turdus viscivorus,Mistle Thrush,15
Turdus philomelos,Song Thrush,24
Turdus abyssinicus,Abyssinian Thrush,7
Turdus helleri,Taita Thrush,0
Turdus roehli,Usambara Thrush,0
Turdus iliacus,Redwing,14
Turdus plebejus,Mountain Thrush,18
Turdus merula,Eurasian Blackbird,36
Turdus leucomelas,Pale-breasted Thrush,7
Turdus fumigatus,Cocoa Thrush,4
Turdus hauxwelli,Hauxwell's Thrush,5
Turdus flavipes,Yellow-legged Thrush,4
Turdus obsoletus,Pale-vented Thrush,10
Turdus assimilis,White-throated Thrush,19
Turdus albicollis,White-necked Thrush,9
Turdus rufiventris,Rufous-bellied Thrush,4
Turdus grayi,Clay-colored Thrush,41
Turdus nudigenis,Spectacled Thrush,3
Turdus maculirostris,Ecuadorian Thrush,5
Turdus sanchezorum,Varzea Thrush,1
Turdus haplochrous,Unicolored Thrush,0
Turdus ludoviciae,Somali Thrush,0
Turdus mandarinus,Chinese Blackbird,8
Turdus tephronotus,African Bare-eyed Thrush,3
Turdus libonyana,Kurrichane Thrush,6
Turdus bewsheri,Comoro Thrush,0
Turdus menachensis,Yemen Thrush,0
Turdus olivaceus,Olive Thrush,7
Turdus smithi,Karoo Thrush,3
Turdus lherminieri,Forest Thrush,0
Turdus leucops,Pale-eyed Thrush,5
Turdus jamaicensis,White-eyed Thrush,1
Turdus swalesi,La Selle Thrush,1
Turdus infuscatus,Black Thrush,3
Turdus nigrescens,Sooty Thrush,14
Turdus migratorius,American Robin,58
Turdus rufopalliatus,Rufous-backed Robin,10
Turdus rufitorques,Rufous-collared Robin,5
Turdus falcklandii,Austral Thrush,5
Turdus reevei,Plumbeous-backed Thrush,2
Turdus subalaris,Eastern Slaty Thrush,0
Turdus lawrencii,Lawrence's Thrush,5
Turdus eremita,Tristan Thrush,0
Turdus amaurochalinus,Creamy-bellied Thrush,6
Turdus ignobilis,Black-billed Thrush,11
Turdus maranonicus,Marañon Thrush,2
Turdus fulviventris,Chestnut-bellied Thrush,3
Turdus olivater,Black-hooded Thrush,3
Turdus fuscater,Great Thrush,14
Turdus chiguanco,Chiguanco Thrush,8
Turdus nigriceps,Andean Slaty Thrush,1
Turdus serranus,Glossy-black Thrush,8
Turdus xanthorhynchus,Principe Thrush,0
Turdus olivaceofuscus,Sao Tome Thrush,0
Turdus aurantius,White-chinned Thrush,1
Turdus ravidus,Grand Cayman Thrush,0
Turdus plumbeus,Red-legged Thrush,19
Turdus pelios,African Thrush,7
Turdus niveiceps,Taiwan Thrush,0
Turdus boulboul,Gray-winged Blackbird,3
Turdus simillimus,Indian Blackbird,3
Turdus cardis,Japanese Thrush,2
Turdus hortulorum,Gray-backed Thrush,5
Turdus unicolor,Tickell's Thrush,2
Turdus dissimilis,Black-breasted Thrush,2
Turdus feae,Gray-sided Thrush,2
Turdus obscurus,Eyebrowed Thrush,11
Turdus chrysolaus,Brown-headed Thrush,3
Turdus celaenops,Izu Thrush,0
Turdus pallidus,Pale Thrush,6
Turdus poliocephalus,Island Thrush,4
Turdus kessleri,White-backed Thrush,2
Turdus maximus,Tibetan Blackbird,2
Turdus pilaris,Fieldfare,15
Turdus albocinctus,White-collared Blackbird,3
Turdus rubrocanus,Chestnut Thrush,2
Turdus torquatus,Ring Ouzel,4
Turdus atrogularis,Black-throated Thrush,3
Turdus ruficollis,Red-throated Thrush,4
Turdus eunomus,Dusky Thrush,12
Turdus naumanni,Naumann's Thrush,4
Melanotis caerulescens,Blue Mockingbird,5
Melanotis hypoleucus,Blue-and-white Mockingbird,5
Melanoptila glabrirostris,Black Catbird,7
Dumetella carolinensis,Gray Catbird,55
Ramphocinclus brachyurus,White-breasted Thrasher,0
Allenia fusca,Scaly-breasted Thrasher,1
Margarops fuscatus,Pearly-eyed Thrasher,11
Cinclocerthia ruficauda,Brown Trembler,0
Cinclocerthia gutturalis,Gray Trembler,1
Toxostoma curvirostre,Curve-billed Thrasher,40
Toxostoma ocellatum,Ocellated Thrasher,1
Toxostoma rufum,Brown Thrasher,53
Toxostoma longirostre,Long-billed Thrasher,31
Toxostoma guttatum,Cozumel Thrasher,0
Toxostoma bendirei,Bendire's Thrasher,19
Toxostoma cinereum,Gray Thrasher,2
Toxostoma redivivum,California Thrasher,27
Toxostoma lecontei,LeConte's Thrasher,12
Toxostoma crissale,Crissal Thrasher,29
Oreoscoptes montanus,Sage Thrasher,35
Mimus thenca,Chilean Mockingbird,3
Mimus patagonicus,Patagonian Mockingbird,3
Mimus saturninus,Chalk-browed Mockingbird,5
Mimus triurus,White-banded Mockingbird,1
Mimus dorsalis,Brown-backed Mockingbird,2
Mimus gundlachii,Bahama Mockingbird,9
Mimus parvulus,Galapagos Mockingbird,3
Mimus trifasciatus,Floreana Mockingbird,0
Mimus macdonaldi,Española Mockingbird,3
Mimus melanotis,San Cristobal Mockingbird,2
Mimus longicaudatus,Long-tailed Mockingbird,6
Mimus graysoni,Socorro Mockingbird,0
Mimus gilvus,Tropical Mockingbird,27
Mimus polyglottos,Northern Mockingbird,55
Rhabdornis mystacalis,Stripe-sided Rhabdornis,3
Rhabdornis grandis,Long-billed Rhabdornis,0
Rhabdornis inornatus,Stripe-breasted Rhabdornis,1
Rhabdornis rabori,Visayan Rhabdornis,0
Enodes erythrophris,Fiery-browed Myna,1
Scissirostrum dubium,Finch-billed Myna,2
Aplonis metallica,Metallic Starling,8
Aplonis mystacea,Yellow-eyed Starling,1
Aplonis crassa,Tanimbar Starling,0
Aplonis feadensis,Atoll Starling,0
Aplonis insularis,Rennell Starling,0
Aplonis magna,Long-tailed Starling,2
Aplonis brunneicapillus,White-eyed Starling,0
Aplonis grandis,Brown-winged Starling,0
Aplonis dichroa,Makira Starling,0
Aplonis zelandica,Rusty-winged Starling,0
Aplonis striata,Striated Starling,0
Aplonis pelzelni,Pohnpei Starling,0
Aplonis cantoroides,Singing Starling,1
Aplonis santovestris,Mountain Starling,0
Aplonis panayensis,Asian Glossy Starling,11
Aplonis mysolensis,Moluccan Starling,1
Aplonis minor,Short-tailed Starling,3
Aplonis opaca,Micronesian Starling,0
Aplonis tabuensis,Polynesian Starling,0
Aplonis atrifusca,Samoan Starling,0
Aplonis corvina,Kosrae Starling,0
Aplonis cinerascens,Rarotonga Starling,0
Aplonis mavornata,Mysterious Starling,0
Aplonis fusca,Norfolk Starling,0
Basilornis celebensis,Sulawesi Myna,1
Basilornis galeatus,Helmeted Myna,0
Basilornis corythaix,Long-crested Myna,0
Goodfellowia miranda,Apo Myna,0
Sarcops calvus,Coleto,4
Streptocitta albicollis,White-necked Myna,2
Streptocitta albertinae,Bare-eyed Myna,0
Mino dumontii,Yellow-faced Myna,1
Mino anais,Golden Myna,1
Mino kreffti,Long-tailed Myna,0
Ampeliceps coronatus,Golden-crested Myna,2
Gracula ptilogenys,Sri Lanka Myna,2
Gracula religiosa,Common Hill Myna,12
Gracula indica,Southern Hill Myna,4
Gracula enganensis,Enggano Myna,0
Gracula robusta,Nias Myna,0
Sturnus vulgaris,European Starling,59
Sturnus unicolor,Spotless Starling,11
Creatophora cinerea,Wattled Starling,8
Pastor roseus,Rosy Starling,8
Agropsar sturninus,Daurian Starling,4
Agropsar philippensis,Chestnut-cheeked Starling,1
Gracupica nigricollis,Black-collared Starling,8
Gracupica contra,Asian Pied Starling,10
Sturnornis albofrontatus,White-faced Starling,1
Leucopsar rothschildi,Bali Myna,2
Necropsar rodericanus,Rodrigues Starling,0
Fregilupus varius,Reunion Starling,0
Sturnia sinensis,White-shouldered Starling,6
Sturnia pagodarum,Brahminy Starling,4
Sturnia malabarica,Chestnut-tailed Starling,9
Sturnia blythii,Malabar Starling,0
Sturnia erythropygia,White-headed Starling,1
Spodiopsar sericeus,Red-billed Starling,5
Spodiopsar cineraceus,White-cheeked Starling,12
Acridotheres tristis,Common Myna,42
Acridotheres ginginianus,Bank Myna,3
Acridotheres burmannicus,Vinous-breasted Starling,7
Acridotheres melanopterus,Black-winged Starling,2
Acridotheres fuscus,Jungle Myna,8
Acridotheres javanicus,Javan Myna,10
Acridotheres cinereus,Pale-bellied Myna,0
Acridotheres albocinctus,Collared Myna,1
Acridotheres grandis,Great Myna,9
Acridotheres cristatellus,Crested Myna,12
Hartlaubius auratus,Madagascar Starling,0
Cinnyricinclus leucogaster,Violet-backed Starling,9
Onychognathus tenuirostris,Slender-billed Starling,4
Onychognathus nabouroup,Pale-winged Starling,3
Onychognathus neumanni,Neumann's Starling,1
Onychognathus morio,Red-winged Starling,12
Onychognathus fulgidus,Chestnut-winged Starling,1
Onychognathus walleri,Waller's Starling,3
Onychognathus tristramii,Tristram's Starling,6
Onychognathus albirostris,White-billed Starling,2
Onychognathus salvadorii,Bristle-crowned Starling,1
Onychognathus blythii,Somali Starling,0
Onychognathus frater,Socotra Starling,0
Saroglossa spilopterus,Spot-winged Starling,1
Neocichla gutturalis,Babbling Starling,0
Grafisia torquata,White-collared Starling,0
Speculipastor bicolor,Magpie Starling,1
Pholia sharpii,Sharpe's Starling,4
Poeoptera femoralis,Abbott's Starling,1
Poeoptera lugubris,Narrow-tailed Starling,2
Poeoptera stuhlmanni,Stuhlmann's Starling,2
Poeoptera kenricki,Kenrick's Starling,0
Notopholia corrusca,Black-bellied Starling,3
Hylopsar purpureiceps,Purple-headed Starling,3
Hylopsar cupreocauda,Copper-tailed Starling,0
Lamprotornis hildebrandti,Hildebrandt's Starling,6
Lamprotornis shelleyi,Shelley's Starling,1
Lamprotornis australis,Burchell's Starling,7
Lamprotornis purpuroptera,Rüppell's Starling,7
Lamprotornis caudatus,Long-tailed Glossy Starling,2
Lamprotornis mevesii,Meves's Starling,3
Lamprotornis unicolor,Ashy Starling,1
Lamprotornis splendidus,Splendid Starling,3
Lamprotornis ornatus,Principe Starling,0
Lamprotornis regius,Golden-breasted Starling,2
Lamprotornis superbus,Superb Starling,8
Lamprotornis pulcher,Chestnut-bellied Starling,2
Lamprotornis bicolor,African Pied Starling,3
Lamprotornis albicapillus,White-crowned Starling,1
Lamprotornis fischeri,Fischer's Starling,2
Lamprotornis chloropterus,Lesser Blue-eared Starling,5
Lamprotornis acuticaudus,Sharp-tailed Starling,0
Lamprotornis chalybaeus,Greater Blue-eared Starling,13
Lamprotornis iris,Emerald Starling,0
Lamprotornis purpureus,Purple Starling,3
Lamprotornis nitens,Cape Starling,7
Lamprotornis chalcurus,Bronze-tailed Starling,2
Buphagus erythrorhynchus,Red-billed Oxpecker,12
Buphagus africanus,Yellow-billed Oxpecker,11
Chloropsis flavipennis,Philippine Leafbird,2
Chloropsis palawanensis,Yellow-throated Leafbird,2
Chloropsis sonnerati,Greater Green Leafbird,5
Chloropsis cyanopogon,Lesser Green Leafbird,8
Chloropsis cochinchinensis,Blue-winged Leafbird,9
Chloropsis kinabaluensis,Bornean Leafbird,4
Chloropsis jerdoni,Jerdon's Leafbird,3
Chloropsis aurifrons,Golden-fronted Leafbird,6
Chloropsis media,Sumatran Leafbird,0
Chloropsis hardwickii,Orange-bellied Leafbird,3
Chloropsis venusta,Blue-masked Leafbird,0
Prionochilus olivaceus,Olive-backed Flowerpecker,3
Prionochilus maculatus,Yellow-breasted Flowerpecker,5
Prionochilus percussus,Crimson-breasted Flowerpecker,3
Prionochilus plateni,Palawan Flowerpecker,2
Prionochilus xanthopygius,Yellow-rumped Flowerpecker,6
Prionochilus thoracicus,Scarlet-breasted Flowerpecker,1
Dicaeum annae,Golden-rumped Flowerpecker,0
Dicaeum agile,Thick-billed Flowerpecker,6
Dicaeum everetti,Brown-backed Flowerpecker,1
Dicaeum proprium,Whiskered Flowerpecker,2
Dicaeum chrysorrheum,Yellow-vented Flowerpecker,2
Dicaeum melanoxanthum,Yellow-bellied Flowerpecker,3
Dicaeum vincens,White-throated Flowerpecker,1
Dicaeum aureolimbatum,Yellow-sided Flowerpecker,2
Dicaeum nigrilore,Olive-capped Flowerpecker,1
Dicaeum anthonyi,Flame-crowned Flowerpecker,1
Dicaeum bicolor,Bicolored Flowerpecker,2
Dicaeum quadricolor,Cebu Flowerpecker,0
Dicaeum australe,Red-keeled Flowerpecker,3
Dicaeum haematostictum,Black-belted Flowerpecker,1
Dicaeum retrocinctum,Scarlet-collared Flowerpecker,0
Dicaeum trigonostigma,Orange-bellied Flowerpecker,10
Dicaeum hypoleucum,White-bellied Flowerpecker,4
Dicaeum erythrorhynchos,Pale-billed Flowerpecker,3
Dicaeum concolor,Nilgiri Flowerpecker,2
Dicaeum minullum,Plain Flowerpecker,3
Dicaeum virescens,Andaman Flowerpecker,1
Dicaeum pygmaeum,Pygmy Flowerpecker,4
Dicaeum nehrkorni,Crimson-crowned Flowerpecker,1
Dicaeum schistaceiceps,Halmahera Flowerpecker,1
Dicaeum erythrothorax,Buru Flowerpecker,0
Dicaeum vulneratum,Ashy Flowerpecker,0
Dicaeum pectorale,Olive-crowned Flowerpecker,1
Dicaeum geelvinkianum,Red-capped Flowerpecker,1
Dicaeum nitidum,Louisiade Flowerpecker,0
Dicaeum eximium,Red-banded Flowerpecker,0
Dicaeum aeneum,Midget Flowerpecker,0
Dicaeum tristrami,Mottled Flowerpecker,0
Dicaeum igniferum,Black-fronted Flowerpecker,0
Dicaeum maugei,Red-chested Flowerpecker,1
Dicaeum ignipectus,Fire-breasted Flowerpecker,8
Dicaeum monticolum,Black-sided Flowerpecker,6
Dicaeum celebicum,Gray-sided Flowerpecker,2
Dicaeum sanguinolentum,Blood-breasted Flowerpecker,1
Dicaeum hirundinaceum,Mistletoebird,10
Dicaeum cruentatum,Scarlet-backed Flowerpecker,12
Dicaeum trochileum,Scarlet-headed Flowerpecker,3
Chalcoparia singalensis,Ruby-cheeked Sunbird,8
Deleornis fraseri,Fraser's Sunbird,2
Deleornis axillaris,Gray-headed Sunbird,0
Anthreptes reichenowi,Plain-backed Sunbird,1
Anthreptes anchietae,Anchieta's Sunbird,0
Anthreptes simplex,Plain Sunbird,6
Anthreptes malacensis,Plain-throated Sunbird,12
Anthreptes rhodolaemus,Red-throated Sunbird,4
Anthreptes gabonicus,Mouse-brown Sunbird,2
Anthreptes longuemarei,Western Violet-backed Sunbird,2
Anthreptes orientalis,Eastern Violet-backed Sunbird,4
Anthreptes neglectus,Uluguru Violet-backed Sunbird,0
Anthreptes aurantius,Violet-tailed Sunbird,0
Anthreptes seimundi,Little Green Sunbird,2
Anthreptes rectirostris,Green Sunbird,2
Anthreptes rubritorques,Banded Sunbird,0
Hedydipna collaris,Collared Sunbird,12
Hedydipna platura,Pygmy Sunbird,3
Hedydipna metallica,Nile Valley Sunbird,3
Hedydipna pallidigaster,Amani Sunbird,2
Anabathmis reichenbachii,Reichenbach's Sunbird,2
Anabathmis hartlaubii,Principe Sunbird,0
Anabathmis newtonii,Newton's Sunbird,0
Dreptes thomensis,Sao Tome Sunbird,0
Anthobaphes violacea,Orange-breasted Sunbird,5
Cyanomitra verticalis,Green-headed Sunbird,5
Cyanomitra bannermani,Bannerman's Sunbird,0
Cyanomitra cyanolaema,Blue-throated Brown Sunbird,2
Cyanomitra oritis,Cameroon Sunbird,1
Cyanomitra alinae,Blue-headed Sunbird,0
Cyanomitra olivacea,Olive Sunbird,8
Cyanomitra veroxii,Mouse-colored Sunbird,1
Chalcomitra adelberti,Buff-throated Sunbird,2
Chalcomitra fuliginosa,Carmelite Sunbird,1
Chalcomitra rubescens,Green-throated Sunbird,3
Chalcomitra amethystina,Amethyst Sunbird,8
Chalcomitra senegalensis,Scarlet-chested Sunbird,13
Chalcomitra hunteri,Hunter's Sunbird,3
Chalcomitra balfouri,Socotra Sunbird,0
Leptocoma zeylonica,Purple-rumped Sunbird,5
Leptocoma minima,Crimson-backed Sunbird,3
Leptocoma brasiliana,Van Hasselt's Sunbird,8
Leptocoma sperata,Purple-throated Sunbird,3
Leptocoma sericea,Black Sunbird,1
Leptocoma calcostetha,Copper-throated Sunbird,7
Nectarinia bocagii,Bocage's Sunbird,0
Nectarinia purpureiventris,Purple-breasted Sunbird,0
Nectarinia tacazze,Tacazze Sunbird,6
Nectarinia kilimensis,Bronze Sunbird,6
Nectarinia famosa,Malachite Sunbird,9
Nectarinia johnstoni,Red-tufted Sunbird,1
Drepanorhynchus reichenowi,Golden-winged Sunbird,3
Cinnyris chloropygius,Olive-bellied Sunbird,4
Cinnyris minullus,Tiny Sunbird,1
Cinnyris manoensis,Miombo Sunbird,1
Cinnyris chalybeus,Southern Double-collared Sunbird,7
Cinnyris neergaardi,Neergaard's Sunbird,1
Cinnyris stuhlmanni,Stuhlmann's Sunbird,0
Cinnyris prigoginei,Prigogine's Sunbird,0
Cinnyris ludovicensis,Montane Double-collared Sunbird,0
Cinnyris reichenowi,Northern Double-collared Sunbird,5
Cinnyris afer,Greater Double-collared Sunbird,3
Cinnyris regius,Regal Sunbird,1
Cinnyris rockefelleri,Rockefeller's Sunbird,0
Cinnyris mediocris,Eastern Double-collared Sunbird,5
Cinnyris moreaui,Moreau's Sunbird,0
Cinnyris loveridgei,Loveridge's Sunbird,0
Cinnyris pulchellus,Beautiful Sunbird,7
Cinnyris mariquensis,Mariqua Sunbird,10
Cinnyris shelleyi,Shelley's Sunbird,0
Cinnyris congensis,Congo Sunbird,0
Cinnyris erythrocercus,Red-chested Sunbird,1
Cinnyris nectarinioides,Black-bellied Sunbird,2
Cinnyris bifasciatus,Purple-banded Sunbird,6
Cinnyris tsavoensis,Tsavo Sunbird,1
Cinnyris chalcomelas,Violet-breasted Sunbird,1
Cinnyris pembae,Pemba Sunbird,0
Cinnyris bouvieri,Orange-tufted Sunbird,0
Cinnyris osea,Palestine Sunbird,6
Cinnyris habessinicus,Shining Sunbird,2
Cinnyris coccinigastrus,Splendid Sunbird,3
Cinnyris johannae,Johanna's Sunbird,1
Cinnyris superbus,Superb Sunbird,2
Cinnyris rufipennis,Rufous-winged Sunbird,0
Cinnyris oustaleti,Oustalet's Sunbird,0
Cinnyris talatala,White-breasted Sunbird,5
Cinnyris venustus,Variable Sunbird,11
Cinnyris fuscus,Dusky Sunbird,2
Cinnyris ursulae,Ursula's Sunbird,0
Cinnyris batesi,Bates's Sunbird,1
Cinnyris cupreus,Copper Sunbird,5
Cinnyris asiaticus,Purple Sunbird,9
Cinnyris jugularis,Olive-backed Sunbird,19
